Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, P-SLICE,   10, 22.00,    1066976, 0,0.00,39.593, 41.034, 43.804, 40.299,9, 9 8 7 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.17%,  0.09%, 0.38%,  0.44%,  0.76%, 2.36%,  1.67%,  5.54%, 0.00%,  0.13%,  2.60%, 12.67%, 65.90%,  0.00%,  0.20%,  0.57%,  2.08%,  0.04%,  0.44%,  0.88%,  3.02%, 29337.07, 8082.26, 0.00, 96758.85 , 0, 255, 112.63, 18, 179, 117.18, 91, 233, 136.18, 0.00%, 23.08%,0.00%, 69.23%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 9.16%, 17.77%,0.00%, 40.84%, 32.23%, 0.00%, 0.00%, 0.00%, 0.00%, 10.05%, 9.22%,0.00%, 37.75%, 42.98%, 0.00%, 0.00%, 0.00%, 0.00%, 11.66%, 6.22%,0.00%, 36.89%, 45.23%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 350.0, 583694.8, 224217.3, 210351.5, 0.0, 0.0, 1341536.3, 1.000, 0
11, P-SLICE,   11, 22.00,    1069528, 0,0.00,39.590, 41.019, 43.767, 40.291,8, 10 9 8 , -, 0.00%,  0.00%,  0.00%, 0.06%,  0.15%,  0.17%, 0.25%,  0.42%,  0.83%, 2.53%,  1.91%,  6.44%, 0.00%,  0.12%,  2.74%, 12.23%, 65.22%,  0.00%,  0.20%,  0.61%,  2.27%,  0.07%,  0.43%,  0.92%,  2.44%, 29356.50, 8122.45, 0.00, 98637.25 , 0, 255, 112.53, 20, 179, 117.18, 91, 232, 136.13, 0.00%, 35.71%,0.00%, 50.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 10.19%, 16.87%,0.00%, 43.06%, 29.88%, 0.00%, 0.00%, 0.00%, 0.00%, 9.82%, 9.99%,0.00%, 39.23%, 40.96%, 0.00%, 0.00%, 0.00%, 0.00%, 13.21%, 5.71%,0.00%, 36.47%, 44.61%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 199.3, 537229.1, 231579.6, 217160.1, 0.0, 0.0, 1426543.2, 1.000, 0
12, P-SLICE,   12, 22.00,    1071168, 0,0.00,39.593, 41.012, 43.786, 40.295,7, 11 10 9 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.16%,  0.09%, 0.35%,  0.37%,  0.92%, 2.67%,  1.59%,  5.99%, 0.00%,  0.12%,  2.40%, 12.55%, 65.21%,  0.00%,  0.27%,  0.61%,  2.27%,  0.09%,  0.42%,  0.93%,  2.91%, 29326.52, 8122.30, 0.00, 104333.62 , 0, 255, 112.43, 20, 179, 117.10, 90, 231, 136.17, 0.00%, 43.75%,0.00%, 46.88%, 9.38%, 0.00%, 0.00%, 0.00%, 0.00%, 9.73%, 20.23%,0.00%, 41.79%, 28.24%, 0.00%, 0.00%, 0.00%, 0.00%, 10.43%, 9.80%,0.00%, 38.89%, 40.88%, 0.00%, 0.00%, 0.00%, 0.00%, 12.47%, 6.30%,0.00%, 37.07%, 44.16%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 200.5, 514864.0, 238778.2, 224669.2, 0.0, 0.0, 1513102.9, 1.000, 0
13, P-SLICE,   13, 22.00,    1069984, 0,0.00,39.585, 41.021, 43.774, 40.288,6, 12 11 10 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.15%,  0.12%, 0.45%,  0.40%,  0.87%, 2.61%,  1.81%,  6.07%, 0.00%,  0.14%,  2.38%, 12.71%, 64.87%,  0.00%,  0.16%,  0.57%,  2.55%,  0.07%,  0.50%,  0.79%,  2.71%, 29370.82, 8121.72, 0.00, 103229.43 , 0, 255, 112.36, 20, 181, 117.14, 91, 231, 136.16, 0.00%, 34.38%,0.00%, 43.75%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%, 10.04%, 19.50%,0.00%, 38.03%, 32.43%, 0.00%, 0.00%, 0.00%, 0.00%, 10.94%, 8.58%,0.00%, 38.92%, 41.56%, 0.00%, 0.00%, 0.00%, 0.00%, 12.76%, 6.41%,0.00%, 35.92%, 44.92%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.7, 501613.6, 243831.5, 229563.4, 0.0, 0.0, 1599731.3, 1.000, 0
14, P-SLICE,   14, 22.00,    1078768, 0,0.00,39.588, 41.012, 43.777, 40.290,5, 13 12 11 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.14%,  0.16%, 0.43%,  0.48%,  0.86%, 2.36%,  2.09%,  6.69%, 0.00%,  0.11%,  2.33%, 13.62%, 63.67%,  0.00%,  0.22%,  0.76%,  2.12%,  0.09%,  0.41%,  0.86%,  2.54%, 29336.74, 8128.02, 0.00, 104100.99 , 0, 255, 112.23, 20, 179, 117.13, 91, 231, 136.19, 0.00%, 46.67%,0.00%, 46.67%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 11.26%, 18.77%,0.00%, 42.89%, 27.08%, 0.00%, 0.00%, 0.00%, 0.00%, 10.42%, 9.49%,0.00%, 38.90%, 41.19%, 0.00%, 0.00%, 0.00%, 0.00%, 13.74%, 5.75%,0.00%, 36.11%, 44.40%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.6, 500885.5, 237824.7, 224892.0, 0.0, 0.0, 1678473.0, 1.000, 0
15, P-SLICE,   15, 22.00,    1081424, 0,0.00,39.585, 41.008, 43.736, 40.282,4, 14 13 12 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.11%,  0.16%, 0.49%,  0.51%,  0.95%, 2.66%,  1.86%,  6.80%, 0.00%,  0.11%,  2.15%, 12.18%, 64.69%,  0.00%,  0.21%,  0.69%,  2.15%,  0.04%,  0.50%,  0.84%,  2.84%, 29356.46, 8152.19, 0.00, 102502.49 , 0, 255, 112.10, 20, 178, 117.13, 90, 233, 136.16, 0.00%, 29.17%,0.00%, 50.00%, 20.83%, 0.00%, 0.00%, 0.00%, 0.00%, 10.63%, 22.24%,0.00%, 40.35%, 26.77%, 0.00%, 0.00%, 0.00%, 0.00%, 12.43%, 9.77%,0.00%, 39.79%, 38.01%, 0.00%, 0.00%, 0.00%, 0.00%, 13.71%, 6.05%,0.00%, 36.47%, 43.78%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.5, 497565.4, 232190.4, 218765.9, 0.0, 0.0, 1757215.5, 1.000, 0
16, P-SLICE,   16, 22.00,    1086352, 0,0.00,39.589, 41.021, 43.763, 40.289,3, 15 14 13 , -, 0.00%,  0.00%,  0.00%, 0.10%,  0.17%,  0.12%, 0.50%,  0.52%,  1.09%, 2.25%,  1.61%,  7.10%, 0.00%,  0.08%,  2.38%, 12.42%, 64.45%,  0.00%,  0.24%,  0.76%,  2.45%,  0.06%,  0.45%,  0.93%,  2.30%, 29377.82, 8125.70, 0.00, 108623.64 , 0, 255, 112.01, 18, 175, 117.17, 91, 231, 136.13, 0.00%, 43.48%,0.00%, 52.17%, 4.35%, 0.00%, 0.00%, 0.00%, 0.00%, 11.42%, 19.85%,0.00%, 42.32%, 26.40%, 0.00%, 0.00%, 0.00%, 0.00%, 13.02%, 10.42%,0.00%, 38.42%, 38.14%, 0.00%, 0.00%, 0.00%, 0.00%, 13.41%, 5.81%,0.00%, 36.90%, 43.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.5, 513667.0, 217852.1, 206128.1, 0.0, 0.0, 1827478.4, 1.000, 0
17, P-SLICE,   17, 22.00,    1082000, 0,0.00,39.586, 41.025, 43.773, 40.289,2, 16 15 14 , -, 0.00%,  0.00%,  0.00%, 0.10%,  0.19%,  0.10%, 0.40%,  0.53%,  0.96%, 2.90%,  1.99%,  7.12%, 0.00%,  0.15%,  2.12%, 11.85%, 63.82%,  0.00%,  0.21%,  0.69%,  2.36%,  0.07%,  0.47%,  1.00%,  2.98%, 29374.31, 8115.82, 0.00, 110432.26 , 0, 255, 111.91, 19, 178, 117.13, 92, 232, 136.12, 0.00%, 32.35%,0.00%, 55.88%, 11.76%, 0.00%, 0.00%, 0.00%, 0.00%, 12.10%, 21.37%,0.00%, 38.91%, 27.62%, 0.00%, 0.00%, 0.00%, 0.00%, 12.22%, 10.93%,0.00%, 37.28%, 39.57%, 0.00%, 0.00%, 0.00%, 0.00%, 14.53%, 6.46%,0.00%, 35.76%, 43.26%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.5, 504999.3, 225454.6, 212780.8, 0.0, 0.0, 1912671.9, 1.000, 0
18, P-SLICE,   18, 22.00,    1083352, 0,0.00,39.589, 41.025, 43.773, 40.291,1, 17 16 15 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.14%,  0.16%, 0.38%,  0.52%,  1.28%, 2.88%,  1.57%,  7.82%, 0.00%,  0.10%,  2.31%, 11.81%, 63.19%,  0.00%,  0.23%,  0.63%,  2.31%,  0.06%,  0.59%,  1.04%,  2.94%, 29338.68, 8110.97, 0.00, 95428.95 , 0, 255, 111.84, 19, 178, 117.05, 92, 232, 136.13, 0.00%, 38.46%,0.00%, 53.85%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 9.53%, 23.55%,0.00%, 36.64%, 30.28%, 0.00%, 0.00%, 0.00%, 0.00%, 13.91%, 10.69%,0.00%, 38.30%, 37.10%, 0.00%, 0.00%, 0.00%, 0.00%, 14.92%, 6.37%,0.00%, 34.17%, 44.54%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.6, 506298.3, 201854.3, 193791.9, 0.0, 0.0, 1968404.7, 1.000, 0
19, P-SLICE,   19, 22.00,    1091064, 0,0.00,39.578, 41.003, 43.739, 40.276,0, 18 17 16 , -, 0.00%,  0.00%,  0.00%, 0.03%,  0.14%,  0.17%, 0.45%,  0.39%,  1.13%, 2.96%,  1.99%,  7.69%, 0.00%,  0.16%,  2.33%, 11.66%, 63.88%,  0.00%,  0.27%,  0.61%,  2.30%,  0.05%,  0.41%,  0.80%,  2.57%, 29375.15, 8159.91, 0.00, 93514.56 , 0, 255, 111.83, 20, 177, 117.09, 92, 233, 136.08, 0.00%, 21.88%,0.00%, 56.25%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%, 10.17%, 20.35%,0.00%, 39.92%, 29.56%, 0.00%, 0.00%, 0.00%, 0.00%, 13.13%, 9.36%,0.00%, 36.43%, 41.09%, 0.00%, 0.00%, 0.00%, 0.00%, 15.25%, 5.88%,0.00%, 36.23%, 42.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.2, 505410.3, 153612.5, 149599.0, 0.0, 0.0, 1997333.8, 1.000, 0

Summary
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version
" --input-res 1920x1080 --fps 50 --preset 5 --bframes 0 --b-adapt 0 --keyint -1 -f 20 --qp 22 --input /data/videos/1080p/Cactus_1920x1080_50.yuv --no-wpp --no-pmode --no-pme --lookahead-slices 0 --pool - -o /home/italo/intra-pin-memapprox/x265_2.5/outputs/Cactus_1920x1080_50/videos/Cactus_1920x1080_50_qp22_0_0.265 --wber-intra 0 --rber-intra 0 --psnr --csv-log-level 2 --csv /home/italo/intra-pin-memapprox/x265_2.5/outputs/Cactus_1920x1080_50/csv/Cactus_1920x1080_50_qp22_0_0.csv --tune psnr --tune ssim", Thu Dec  6 04:25:25 2018, 2004.70, 0.01, 61608.12, 39.793, 41.172, 43.884, 40.477, -, -, 1     , 19.00, 193868.00, 43.621, 43.933, 45.535, -, 19    , 22.00, 54647.07, 39.592, 41.027, 43.797, -, -, -, -, -, -, -, -, 255   , 112   , 2.5
