Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, B-SLICE,   11, 23.00,     415480, 0,1.51,40.165, 44.857, 46.201, 41.506,26, 8 6 2 ,13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.28%, 10.32%, 20.13%, 45.35%,  0.00%,  1.15%,  1.82%,  4.38%,  0.59%,  3.30%,  4.37%,  7.30%, 25905.47, 3826.61, 0.00, 135990.39 , 17, 235, 123.92, 58, 145, 110.89, 107, 218, 146.02, 0.00%, 31.62%,0.00%, 51.28%, 17.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 30.12%,0.00%, 41.39%, 28.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.53%,0.00%, 40.73%, 35.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.19%,0.00%, 38.83%, 41.98%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.1, 0.2, 61681.4, 58552.4, 0.0, 0.0, 847523.7, 1.000, 0
11, b-SLICE,    9, 24.00,     304872, 0,1.49,39.943, 44.798, 46.022, 41.310,29, 8 6 ,11 13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.59%,  9.88%, 21.54%, 41.42%,  0.00%,  1.08%,  2.25%,  4.13%,  1.71%,  4.40%,  4.23%,  7.78%, 27244.13, 3908.81, 0.00, 103611.56 , 17, 235, 124.04, 57, 148, 110.84, 107, 219, 146.56, 0.00%, 51.74%,0.00%, 35.47%, 12.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.67%,0.00%, 38.67%, 25.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 23.11%,0.00%, 40.53%, 36.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.56%,0.00%, 40.82%, 38.63%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.1, 0.9, 57982.2, 54978.7, 0.0, 0.0, 905818.6, 1.000, 0
12, b-SLICE,   10, 24.00,     298464, 0,1.50,39.931, 44.781, 46.003, 41.296,29, 8 6 ,11 13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.04%, 10.27%, 20.75%, 42.64%,  0.00%,  0.96%,  2.02%,  5.01%,  1.31%,  3.42%,  4.58%,  6.98%, 27318.71, 3922.28, 0.00, 80391.25 , 17, 235, 123.98, 58, 144, 110.90, 108, 217, 146.35, 0.00%, 38.98%,0.00%, 45.76%, 15.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.94%,0.00%, 42.84%, 27.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.14%,0.00%, 40.04%, 35.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 20.27%,0.00%, 41.21%, 38.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.2, 55544.1, 52617.5, 0.0, 0.0, 961208.5, 1.000, 0
13, b-SLICE,   12, 24.00,     241536, 0,1.53,39.949, 44.817, 46.144, 41.332,28, 11 8 6 ,13 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.18%,  9.96%, 17.73%, 40.05%,  0.00%,  1.18%,  2.03%,  3.55%,  2.69%,  5.33%,  6.59%,  9.71%, 27171.39, 3825.34, 0.00, 56146.34 , 17, 235, 123.70, 56, 148, 110.81, 108, 218, 145.74, 0.00%, 69.52%,0.00%, 22.46%, 8.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.52%,0.00%, 36.26%, 24.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.71%,0.00%, 36.78%, 30.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 22.77%,0.00%, 36.24%, 40.99%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.2, 48532.9, 46048.8, 0.0, 0.0, 1009433.8, 1.000, 0
14, P-SLICE,   17, 22.00,     665248, 0,1.56,40.681, 45.075, 46.569, 41.966,24, 13 11 8 , -, 0.00%,  0.00%,  0.00%, 0.79%,  0.42%,  2.80%, 2.45%,  0.98%,  8.47%, 5.49%,  1.81%, 24.46%, 0.00%,  0.12%,  5.63%, 13.35%, 25.92%,  0.00%,  0.22%,  1.05%,  2.79%,  0.00%,  0.38%,  0.91%,  1.95%, 22780.87, 3629.52, 0.00, 106552.30 , 17, 235, 124.53, 55, 143, 110.51, 108, 217, 144.28, 0.00%, 0.00%,0.00%, 81.82%, 18.18%, 0.00%, 0.00%, 0.00%, 0.00%, 39.22%, 5.88%,0.00%, 33.02%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%, 43.76%, 7.19%,0.00%, 25.57%, 23.47%, 0.00%, 0.00%, 0.00%, 0.00%, 48.89%, 7.30%,0.00%, 23.00%, 20.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 31160.2, 797.9, 79112.9, 75137.1, 0.0, 0.0, 1119730.9, 1.000, 0
15, B-SLICE,   15, 23.00,     347352, 0,1.52,40.246, 44.913, 46.303, 41.586,27, 13 11 6 ,17 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.19%, 10.63%, 18.81%, 44.47%,  0.00%,  0.92%,  1.84%,  4.21%,  1.04%,  4.81%,  4.31%,  7.77%, 25385.19, 3740.33, 0.00, 82869.39 , 17, 235, 124.10, 55, 146, 110.56, 108, 218, 144.78, 0.00%, 46.51%,0.00%, 35.66%, 17.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.03%,0.00%, 35.03%, 29.95%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.64%,0.00%, 39.00%, 36.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.77%,0.00%, 38.63%, 41.60%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.2, 58658.0, 55740.0, 0.0, 0.0, 1178700.2, 1.000, 0
16, b-SLICE,   14, 24.00,     213200, 0,1.54,40.033, 44.848, 46.224, 41.409,29, 13 11 ,15 17 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.98%,  8.70%, 16.57%, 40.07%,  0.00%,  1.24%,  2.22%,  4.37%,  2.37%,  6.21%,  6.12%, 10.15%, 26627.25, 3770.13, 0.00, 51270.98 , 17, 235, 124.09, 55, 143, 110.59, 108, 217, 145.06, 0.00%, 54.41%,0.00%, 35.78%, 9.80%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.10%,0.00%, 34.61%, 19.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 33.48%,0.00%, 35.70%, 30.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.32%,0.00%, 37.14%, 38.54%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.1, 0.2, 49553.6, 47107.6, 0.0, 0.0, 1228410.3, 1.000, 0
17, b-SLICE,   16, 24.00,     208288, 0,1.56,40.027, 44.852, 46.210, 41.403,28, 15 13 11 ,17 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.96%,  9.66%, 16.71%, 37.70%,  0.00%,  1.42%,  1.48%,  3.03%,  2.38%,  5.98%,  7.61%, 12.06%, 26676.79, 3775.11, 0.00, 57429.83 , 17, 235, 124.29, 54, 144, 110.56, 108, 216, 144.53, 0.00%, 54.77%,0.00%, 34.17%, 11.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.35%,0.00%, 34.53%, 22.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.25%,0.00%, 32.38%, 32.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 26.02%,0.00%, 35.34%, 38.65%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.1, 0.2, 50979.8, 48503.6, 0.0, 0.0, 1279082.2, 1.000, 0
18, P-SLICE,   21, 22.00,     668944, 0,1.56,40.640, 44.973, 46.471, 41.911,24, 17 15 13 , -, 0.00%,  0.00%,  0.00%, 0.70%,  0.29%,  2.20%, 2.70%,  0.73%,  8.28%, 6.31%,  2.04%, 25.62%, 0.00%,  0.17%,  5.94%, 12.25%, 25.97%,  0.00%,  0.28%,  0.85%,  3.09%,  0.02%,  0.30%,  0.92%,  1.34%, 23004.44, 3730.93, 0.00, 108128.07 , 17, 235, 124.16, 55, 144, 110.59, 108, 216, 144.01, 0.00%, 11.11%,0.00%, 61.11%, 27.78%, 0.00%, 0.00%, 0.00%, 0.00%, 32.87%, 5.96%,0.00%, 36.17%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.53%, 6.86%,0.00%, 24.91%, 22.70%, 0.00%, 0.00%, 0.00%, 0.00%, 50.82%, 6.62%,0.00%, 22.61%, 19.95%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 25774.9, 2.0, 79869.2, 75930.2, 0.0, 0.0, 1383955.0, 1.000, 0
19, B-SLICE,   19, 23.00,     346728, 0,1.57,40.262, 44.867, 46.286, 41.591,27, 17 15 11 ,21 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.26%,  9.84%, 18.95%, 44.97%,  0.00%,  1.01%,  1.56%,  3.40%,  0.96%,  4.21%,  5.48%,  8.37%, 25312.95, 3776.50, 0.00, 99819.06 , 17, 235, 124.38, 55, 146, 110.53, 109, 216, 144.07, 0.00%, 43.18%,0.00%, 38.64%, 18.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.63%,0.00%, 38.20%, 27.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 27.10%,0.00%, 39.81%, 33.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 19.37%,0.00%, 39.35%, 41.28%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.2, 58301.3, 55758.2, 0.0, 0.0, 1442567.5, 1.000, 0
